name,description,price,alcoholPercentage,volume
"Żywiec","Polskie piwo jasne pełne o wyrazistym smaku","350","56","500"
"Lech Premium","Orzeźwiające piwo z delikatnym aromatem chmielu","320","50","500"
"Tyskie","Klasyczne piwo lager z Polski, znane z łagodnego smaku","340","52","500"
"Okocim Mocne","Mocniejsze piwo z głębokim, pełnym smakiem","400","71","500"
"Perła Chmielowa","Piwo o intensywnym chmielowym aromacie","360","60","500"
"Żubr","Łagodne i pełne piwo z delikatnym smakiem słodu","300","60","500"
"Specjal","Mocniejsze piwo z wyraźnym charakterem słodowym","380","65","500"
"Karmi Classic","Bezalkoholowe piwo o słodowym smaku i aromacie","250","05","500"
"Desperados","Piwo o smaku tequili, z cytrusowym aromatem","450","59","500"
"Somersby Apple Cider","Orzeźwiający cydr o smaku jabłek","500","45","500"
